alimento,consumo,identifier,entidad,code_upm,est_var,pondef,indicef,nse4f,nse5f,area,region,sexo,edadanos
refresco normal,205.7142791748047,folio_071842__intp_1,07,M0748,72,17146.34375,-3.5462629795074463,1,muy bajo,rural,sur,masculino,31.14031410217285
refresco normal,68.57142639160156,folio_071847__intp_1,07,M0748,72,19401.830078125,-3.8190720081329346,1,muy bajo,rural,sur,masculino,34.28336715698242
refresco normal,51.42856979370117,folio_071850__intp_2,07,M0748,72,4055.952880859375,-3.510368585586548,1,muy bajo,rural,sur,femenino,18.11362075805664
refresco normal,244.2857208251953,folio_071863__intp_4,07,M0748,72,13161.501953125,-3.5452637672424316,1,muy bajo,rural,sur,masculino,18.354551315307617
aguas de fruta natural con azúcar,610.71429443359375,folio_071863__intp_4,07,M0748,72,13161.501953125,-3.5452637672424316,1,muy bajo,rural,sur,masculino,18.354551315307617
refresco normal,34.28571319580078,folio_071868__intp_4,07,M0748,72,14892.8095703125,-2.946648597717285,1,muy bajo,rural,sur,masculino,15.674195289611816
néctares de frutas o pulpa de frutas industrializados con az,240,folio_080026__intp_4,08,M0801,85,5953.78369140625,-0.43060338497161865,2,bajo,urbano,norte,femenino,15.436001777648926
aguas de fruta natural con azúcar,34.28571319580078,folio_080026__intp_4,08,M0801,85,5953.78369140625,-0.43060338497161865,2,bajo,urbano,norte,femenino,15.436001777648926
refresco normal,70.71428680419922,folio_080040__intp_3,08,M0801,85,4995.3974609375,-1.1151530742645264,1,bajo,urbano,norte,femenino,16.68720054626465
aguas de fruta natural con azúcar,171.42857360839844,folio_080041__intp_1,08,M0801,85,33360.37109375,0.51524817943573,3,medio,urbano,norte,masculino,63.444217681884766
refresco normal,122.14286041259766,folio_080041__intp_1,08,M0801,85,33360.37109375,0.51524817943573,3,medio,urbano,norte,masculino,63.444217681884766
bebidas o aguas de sabor industrializadas con azúcar (frutsi,308.5714416503906,folio_080063__intp_2,08,M0802,82,25943.529296875,0.8077539205551147,3,alto,rural,norte,femenino,46.8172492980957
refresco normal,240,folio_080096__intp_4,08,M0803,84,51427.25,-1.366465449333191,1,bajo,urbano,norte,masculino,27.863107681274414
refresco normal,240,folio_080105__intp_2,08,M0803,84,16197.6865234375,0.6341655850410461,3,alto,urbano,norte,femenino,20.109514236450195
aguas de fruta natural con azúcar,71.42857360839844,folio_080131__intp_3,08,M0804,85,4889.90380859375,-2.720421075820923,1,muy bajo,rural,norte,femenino,18.89664649963379
refresco normal,122.14286041259766,folio_080131__intp_3,08,M0804,85,4889.90380859375,-2.720421075820923,1,muy bajo,rural,norte,femenino,18.89664649963379
refresco normal,34.28571319580078,folio_080132__intp_2,08,M0804,85,19559.615234375,-4.3121418952941895,1,muy bajo,rural,norte,femenino,25.965776443481445
refresco normal,34.28571319580078,folio_080133__intp_4,08,M0804,85,43717.43359375,-4.2111992835998535,1,muy bajo,rural,norte,masculino,22.529773712158203
refresco normal,205.7142791748047,folio_080138__intp_1,08,M0804,85,26052.39453125,-3.01607608795166,1,muy bajo,rural,norte,masculino,29.426420211791992
refresco normal,1200,folio_080152__intp_3,08,M0805,83,6980.53759765625,1.972452163696289,4,muy alto,urbano,norte,femenino,14.086241722106934
